Date,Load [KW],PV Power [KW],Wind Power [KW]
2019-01-01 0:00,38.1,0,0.48
2019-01-01 1:00,24.6,0,0.513
2019-01-01 2:00,25.8,0,0.532
2019-01-01 3:00,25.0,0,0.571
2019-01-01 4:00,24.6,0,0.622
2019-01-01 5:00,25.1,0,0.644
2019-01-01 6:00,25.4,0,0.663
2019-01-01 7:00,24.7,0,0.653
2019-01-01 8:00,32.0,0.004,0.618
2019-01-01 9:00,57.0,0.12,0.558
2019-01-01 10:00,45.0,0.841,0.529
2019-01-01 11:00,44.5,1.308,0.538
2019-01-01 12:00,49.9,2.133,0.571
2019-01-01 13:00,46.0,1.752,0.568
2019-01-01 14:00,49.0,0.86,0.566
2019-01-01 15:00,40.7,0.046,0.63
2019-01-01 16:00,47.2,0,0.704
2019-01-01 17:00,58.8,0,0.775
2019-01-01 18:00,80.5,0,0.793
2019-01-01 19:00,87.2,0,0.788
2019-01-01 20:00,72.8,0,0.779
2019-01-01 21:00,78.6,0,0.749
2019-01-01 22:00,59.6,0,0.739
2019-01-01 23:00,38.8,0,0.735
2019-01-02 0:00,25.2,0,0.758
2019-01-02 1:00,25.1,0,0.756
2019-01-02 2:00,24.6,0,0.754
2019-01-02 3:00,23.7,0,0.724
2019-01-02 4:00,24.2,0,0.695
2019-01-02 5:00,24.8,0,0.674
2019-01-02 6:00,25.2,0,0.635
2019-01-02 7:00,49.4,0,0.639
2019-01-02 8:00,53.2,0.436,0.622
2019-01-02 9:00,39.6,1.22,0.579
2019-01-02 10:00,33.4,1.764,0.521
2019-01-02 11:00,38.6,1.755,0.528
2019-01-02 12:00,35.9,1.893,0.506
2019-01-02 13:00,34.0,1.482,0.439
2019-01-02 14:00,41.1,0.756,0.393
2019-01-02 15:00,40.4,0.041,0.401
2019-01-02 16:00,46.3,0,0.404
2019-01-02 17:00,74.7,0,0.361
2019-01-02 18:00,89.5,0,0.308
2019-01-02 19:00,97.2,0,0.27
2019-01-02 20:00,72.6,0,0.253
2019-01-02 21:00,78.7,0,0.253
2019-01-02 22:00,64.0,0,0.261
2019-01-02 23:00,33.0,0,0.27
2019-01-03 0:00,26.0,0,0.267
2019-01-03 1:00,25.6,0,0.256
2019-01-03 2:00,25.8,0,0.249
2019-01-03 3:00,26.2,0,0.257
2019-01-03 4:00,25.0,0,0.277
2019-01-03 5:00,24.3,0,0.29
2019-01-03 6:00,25.6,0,0.288
2019-01-03 7:00,47.2,0,0.289
2019-01-03 8:00,55.3,0.152,0.281
2019-01-03 9:00,38.0,0.446,0.254
2019-01-03 10:00,34.2,0.679,0.207
2019-01-03 11:00,34.3,0.972,0.217
2019-01-03 12:00,37.8,0.759,0.22
2019-01-03 13:00,36.7,0.48,0.202
2019-01-03 14:00,40.6,0.256,0.204
2019-01-03 15:00,40.4,0.014,0.236
2019-01-03 16:00,46.9,0,0.264
2019-01-03 17:00,83.1,0,0.274
2019-01-03 18:00,103.0,0,0.27
2019-01-03 19:00,88.7,0,0.232
2019-01-03 20:00,70.0,0,0.191
2019-01-03 21:00,82.3,0,0.201
2019-01-03 22:00,60.9,0,0.227
2019-01-03 23:00,33.0,0,0.208
2019-01-04 0:00,24.0,0,0.186
2019-01-04 1:00,24.5,0,0.165
2019-01-04 2:00,24.4,0,0.177
2019-01-04 3:00,24.1,0,0.192
2019-01-04 4:00,25.4,0,0.225
2019-01-04 5:00,25.6,0,0.289
2019-01-04 6:00,27.7,0,0.352
2019-01-04 7:00,48.7,0,0.387
2019-01-04 8:00,51.0,0.039,0.399
2019-01-04 9:00,39.6,0.347,0.398
2019-01-04 10:00,34.4,0.577,0.391
2019-01-04 11:00,36.0,0.632,0.41
2019-01-04 12:00,38.9,0.695,0.41
2019-01-04 13:00,40.1,0.272,0.403
2019-01-04 14:00,41.4,0.067,0.389
2019-01-04 15:00,37.6,0,0.393
2019-01-04 16:00,47.9,0,0.385
2019-01-04 17:00,84.2,0,0.396
2019-01-04 18:00,97.2,0,0.404
2019-01-04 19:00,86.9,0,0.38
2019-01-04 20:00,70.9,0,0.347
2019-01-04 21:00,75.2,0,0.352
2019-01-04 22:00,68.9,0,0.382
2019-01-04 23:00,31.3,0,0.416
2019-01-05 0:00,25.0,0,0.441
2019-01-05 1:00,24.6,0,0.473
2019-01-05 2:00,24.9,0,0.507
2019-01-05 3:00,24.4,0,0.532
2019-01-05 4:00,24.7,0,0.55
2019-01-05 5:00,25.4,0,0.59
2019-01-05 6:00,25.6,0,0.599
2019-01-05 7:00,43.8,0,0.598
2019-01-05 8:00,52.0,0.031,0.601
2019-01-05 9:00,38.6,0.113,0.59
2019-01-05 10:00,33.3,0.164,0.567
2019-01-05 11:00,39.4,0.204,0.547
2019-01-05 12:00,39.9,0.271,0.484
2019-01-05 13:00,38.2,0.251,0.47
2019-01-05 14:00,35.3,0.095,0.473
2019-01-05 15:00,38.6,0,0.494
2019-01-05 16:00,62.3,0,0.484
2019-01-05 17:00,69.8,0,0.473
2019-01-05 18:00,85.6,0,0.452
2019-01-05 19:00,102.2,0,0.434
2019-01-05 20:00,68.7,0,0.439
2019-01-05 21:00,73.5,0,0.443
2019-01-05 22:00,57.9,0,0.45
2019-01-05 23:00,32.2,0,0.439
2019-01-06 0:00,25.1,0,0.425
2019-01-06 1:00,25.4,0,0.4
2019-01-06 2:00,25.6,0,0.376
2019-01-06 3:00,25.8,0,0.361
2019-01-06 4:00,25.1,0,0.331
2019-01-06 5:00,24.7,0,0.3
2019-01-06 6:00,25.8,0,0.267
2019-01-06 7:00,40.9,0,0.238
2019-01-06 8:00,54.3,0.078,0.216
2019-01-06 9:00,38.0,0.244,0.182
2019-01-06 10:00,32.7,0.517,0.137
2019-01-06 11:00,35.2,0.716,0.109
2019-01-06 12:00,40.8,0.833,0.099
2019-01-06 13:00,37.8,0.576,0.09
2019-01-06 14:00,40.3,0.203,0.094
2019-01-06 15:00,38.0,0.015,0.106
2019-01-06 16:00,47.2,0,0.111
2019-01-06 17:00,74.4,0,0.12
2019-01-06 18:00,103.9,0,0.13
2019-01-06 19:00,82.0,0,0.121
2019-01-06 20:00,75.2,0,0.097
2019-01-06 21:00,76.1,0,0.082
2019-01-06 22:00,65.0,0,0.059
2019-01-06 23:00,32.3,0,0.045
2019-01-07 0:00,24.9,0,0.057
2019-01-07 1:00,25.1,0,0.078
2019-01-07 2:00,25.6,0,0.101
2019-01-07 3:00,25.3,0,0.131
2019-01-07 4:00,24.4,0,0.17
2019-01-07 5:00,25.0,0,0.225
2019-01-07 6:00,24.5,0,0.28
2019-01-07 7:00,24.5,0,0.325
2019-01-07 8:00,29.8,0.008,0.341
2019-01-07 9:00,48.8,0.039,0.346
2019-01-07 10:00,44.8,0.065,0.372
2019-01-07 11:00,44.5,0.133,0.447
2019-01-07 12:00,52.1,0.143,0.472
2019-01-07 13:00,52.0,0.127,0.519
2019-01-07 14:00,47.9,0.059,0.601
2019-01-07 15:00,40.0,0,0.67
2019-01-07 16:00,41.8,0,0.738
2019-01-07 17:00,75.4,0,0.737
